Source,Target,Weight
3,238,64
3,296,65
3,328,65
3,639,64
3,809,64
3,861,64
3,878,64
3,925,64
3,940,64
3,1096,64
238,296,65
238,328,64
238,639,64
238,809,65
238,861,64
238,878,64
238,925,64
238,940,65
238,1096,65
296,940,84
296,1096,84
296,328,65
296,639,64
296,809,65
296,861,64
296,878,64
296,925,64
296,1494,18
296,1497,19
328,639,64
328,809,64
328,861,64
328,878,64
328,925,64
328,940,64
328,1096,64
639,809,64
639,861,64
639,878,64
639,925,65
639,940,64
639,1096,64
809,861,64
809,878,64
809,925,64
809,940,65
809,1096,65
861,878,64
861,925,64
861,940,64
861,1096,64
878,925,64
878,940,64
878,1096,64
925,940,64
925,1096,64
940,1096,84
940,1494,18
940,1497,19
1096,1494,18
1096,1497,19
7,406,36
7,614,36
7,663,36
7,1114,36
7,1292,36
7,1471,36
406,614,38
406,663,36
406,1114,36
406,1292,36
406,1471,36
614,663,36
614,1114,36
614,1292,37
614,1471,36
663,1114,36
663,1292,36
663,1471,36
1114,1292,36
1114,1471,36
943,1292,16
908,1292,41
1292,1471,36
9,41,88
9,248,99
9,258,105
9,587,144
9,631,86
9,858,99
9,1160,97
9,1022,23
9,1194,23
9,1403,15
17,41,86
41,248,96
41,258,100
41,858,96
41,908,96
41,204,86
41,327,18
41,587,88
41,633,86
41,756,86
41,759,86
41,1348,86
41,1478,86
19,248,102
248,258,199
248,587,99
248,631,102
248,858,199
248,1054,100
248,1238,101
248,1338,98
248,1390,103
248,1495,102
248,261,78
248,417,97
248,1160,72
248,1221,58
248,1403,16
248,1447,30
248,1494,18
19,258,102
136,258,11
258,587,105
258,631,105
258,858,199
258,1054,100
258,1238,101
258,1390,105
258,1495,106
258,261,79
258,298,81
258,385,66
258,396,77
258,417,97
258,848,42
258,1022,24
258,1160,74
258,1221,58
258,1305,10
258,1338,99
258,1403,16
258,1447,32
258,1494,18
258,1497,19
587,631,86
587,858,99
587,1160,97
587,1022,23
587,1194,23
587,1403,15
327,631,21
25,631,86
631,775,86
631,858,102
631,908,102
631,1488,95
631,1495,101
631,1527,93
631,857,32
631,1194,25
631,1403,21
631,1407,17
631,1396,5
19,858,102
261,858,78
417,858,97
858,1054,100
858,1238,101
858,1338,98
858,1390,103
858,1495,102
858,1160,72
858,1221,58
858,1403,16
858,1447,30
858,1494,18
17,204,86
17,633,86
17,756,86
17,759,86
17,1348,86
17,1478,86
204,633,86
204,756,86
204,759,86
204,1348,86
204,1478,86
633,756,90
633,759,86
633,1348,86
633,1478,86
756,759,87
756,1348,86
756,1478,86
759,1348,86
759,1478,86
1348,1478,86
18,729,9
19,417,115
19,1054,115
19,1238,119
19,1338,84
19,1390,115
417,1054,115
417,1238,115
417,1338,80
417,1390,115
1054,1238,115
1054,1338,81
1054,1390,115
1238,1338,84
1238,1390,115
1338,1390,83
25,775,171
25,908,172
25,1527,172
25,1121,29
25,1196,17
25,1508,6
25,231,8
775,908,171
775,1527,171
775,1121,29
775,1196,17
775,1508,6
231,775,8
110,908,33
166,908,24
327,908,18
336,908,11
373,908,17
467,908,23
486,908,79
623,908,89
630,908,72
675,908,17
781,908,82
857,908,26
908,1527,177
908,1089,88
908,1094,81
908,1121,33
908,1161,11
908,1196,21
908,1240,84
908,1399,45
908,1428,98
908,1488,85
908,1508,7
33,908,10
231,908,8
256,908,11
1121,1527,33
1196,1527,21
1399,1527,44
1508,1527,6
33,1527,11
231,1527,10
256,1527,10
46,308,53
46,676,57
46,717,58
46,983,54
46,1026,55
46,1094,55
46,1481,58
46,609,52
46,873,52
46,1375,52
308,609,52
308,676,52
308,717,52
308,873,52
308,983,52
308,1026,52
308,1094,52
308,1375,52
308,1481,53
609,676,52
676,717,72
676,1094,72
676,873,53
676,1026,61
676,1375,52
64,717,40
92,717,25
187,717,67
289,717,71
330,717,38
338,717,63
399,717,84
404,717,67
466,717,47
486,717,82
572,717,40
609,717,52
630,717,76
717,1197,114
717,1428,99
717,735,38
717,781,83
717,846,85
717,873,52
717,889,35
717,898,87
717,918,69
717,929,39
717,983,59
717,1026,62
717,1094,89
717,1120,70
717,1208,41
717,1257,69
717,1375,52
717,1481,78
609,983,52
873,983,52
983,1094,58
983,1481,58
983,1375,52
609,1026,52
873,1026,52
1026,1375,52
609,1094,52
873,1094,52
1094,1375,52
609,1481,52
873,1481,54
1375,1481,52
64,1197,41
88,1197,30
187,1197,64
309,1197,31
314,1197,86
330,1197,44
338,1197,64
399,1197,79
404,1197,71
572,1197,32
619,1197,86
735,1197,44
761,1197,14
846,1197,81
889,1197,36
898,1197,80
918,1197,85
929,1197,36
1120,1197,74
1157,1197,86
1197,1428,105
1197,1495,91
1197,1257,67
1197,1269,59
69,137,131
69,169,127
69,211,127
69,401,127
69,525,127
69,696,127
69,804,127
69,923,127
69,994,131
69,1003,128
69,1117,130
69,1148,127
69,1235,127
69,1298,127
69,1401,130
69,1422,127
69,1529,127
137,169,128
137,211,127
137,401,130
137,525,127
137,696,136
137,804,127
137,923,128
137,994,142
137,1003,130
137,1117,130
137,1148,127
137,1235,127
137,1298,129
137,1401,134
137,1422,129
137,1495,97
137,1529,127
137,396,76
137,724,28
137,1008,12
169,211,130
169,401,127
169,525,127
169,696,127
169,804,127
169,923,127
169,994,128
169,1003,129
169,1117,127
169,1148,127
169,1235,127
169,1298,130
169,1401,128
169,1422,127
169,1529,127
211,401,127
211,525,127
211,696,127
211,804,127
211,923,127
211,994,127
211,1003,128
211,1117,127
211,1148,127
211,1235,127
211,1298,129
211,1401,127
211,1422,127
211,1529,127
401,525,127
401,696,130
401,804,127
401,923,129
401,994,132
401,1003,128
401,1117,127
401,1148,127
401,1235,127
401,1298,128
401,1401,128
401,1422,129
401,1529,127
525,696,127
525,804,127
525,923,127
525,994,127
525,1003,127
525,1117,127
525,1148,127
525,1235,127
525,1298,127
525,1401,127
525,1422,127
525,1529,127
696,804,127
696,923,131
696,994,134
696,1003,127
696,1117,127
696,1148,127
696,1235,129
696,1298,128
696,1401,129
696,1422,129
696,1495,95
696,1529,127
696,724,27
804,923,127
804,994,127
804,1003,127
804,1117,127
804,1148,127
804,1235,127
804,1298,127
804,1401,127
804,1422,127
804,1529,127
923,994,131
923,1003,127
923,1117,127
923,1148,127
923,1235,128
923,1298,128
923,1401,134
923,1422,128
923,1495,101
923,1529,127
396,994,76
623,994,88
724,994,27
994,1003,133
994,1117,130
994,1148,127
994,1235,127
994,1298,130
994,1401,137
994,1422,129
994,1495,102
994,1529,127
994,1008,12
994,1089,88
1003,1117,127
1003,1148,127
1003,1235,127
1003,1298,130
1003,1401,129
1003,1422,127
1003,1529,127
1117,1148,127
1117,1235,127
1117,1298,127
1117,1401,130
1117,1422,127
1117,1529,127
1148,1235,127
1148,1298,127
1148,1401,127
1148,1422,127
1148,1529,127
1235,1298,127
1235,1401,127
1235,1422,127
1235,1529,127
1298,1401,131
1298,1422,128
1298,1529,127
361,1401,67
396,1401,79
623,1401,92
1089,1401,90
1401,1422,127
1401,1529,127
1401,1428,98
1422,1529,127
72,1495,62
84,1495,86
314,1495,99
361,1495,70
396,1495,78
548,1495,90
619,1495,106
623,1495,104
823,1495,60
857,1495,23
934,1495,103
1089,1495,103
1157,1495,107
1269,1495,50
1403,1495,14
1428,1495,118
1474,1495,86
1488,1495,94
84,314,82
84,548,128
84,619,128
84,623,78
84,934,128
84,1157,128
84,1428,128
84,1474,128
314,548,90
314,619,94
314,623,96
314,934,90
314,1089,94
314,1157,94
314,1428,107
314,361,71
314,761,16
314,1269,55
314,1474,82
314,408,6
548,619,133
548,623,85
548,934,131
548,1089,83
548,1157,133
548,1428,135
548,1474,128
548,761,15
548,1269,49
187,619,55
361,619,68
619,623,88
619,934,138
619,1089,86
619,1157,165
619,1428,155
619,1474,128
619,761,17
619,1269,52
361,623,79
623,934,90
623,1089,175
623,1157,88
623,1428,100
623,761,15
623,1269,54
623,1474,78
361,934,69
761,934,15
934,1089,87
934,1157,138
934,1428,139
934,1474,128
934,1269,52
187,1157,55
361,1157,68
761,1157,17
1089,1157,86
1157,1428,155
1157,1474,128
1157,1269,52
187,1428,62
361,1428,72
630,1428,74
737,1428,19
761,1428,17
846,1428,80
1089,1428,98
1269,1428,59
1428,1474,128
1428,1488,86
88,1257,54
92,1257,23
110,1257,40
254,1257,30
302,1257,14
590,1257,57
1132,1257,69
1199,1257,56
1208,1257,62
1257,1261,51
1257,1356,19
231,1257,8
256,1257,10
778,1257,9
92,1132,25
110,1132,33
590,1132,56
882,1132,13
1132,1199,58
1132,1208,55
1132,1261,51
778,1132,9
105,567,51
105,703,51
105,1152,51
567,1152,62
112,164,17
112,256,10
164,439,23
164,943,16
164,1356,22
164,1379,18
118,165,17
118,381,17
118,1356,12
165,381,17
165,1356,12
381,1356,12
943,1356,17
439,1356,20
136,376,10
136,1447,16
376,698,11
376,1305,11
698,1447,17
1305,1447,12
205,647,74
249,260,117
249,750,117
249,824,117
249,1334,118
260,750,117
260,824,117
260,1334,117
750,824,117
750,1334,117
824,1334,117
261,385,97
609,873,52
609,1375,52
873,1375,52
361,1089,76
761,1089,15
1089,1269,54
330,735,49
399,846,125
399,898,125
846,898,125
404,572,31
404,830,15
439,781,25
196,439,10
439,707,10
439,1182,7
439,1523,7
572,781,32
486,572,31
489,545,18
590,1199,53
590,1208,53
590,1261,51
1199,1208,53
1199,1261,51
1208,1261,51
778,1208,8
630,889,35
857,1488,23
761,1269,15
889,1120,33
943,1267,16
1121,1196,58
231,1121,8
284,1161,5
883,1161,5
1142,1161,5
1446,1465,16
1494,1497,21
33,284,5
33,883,5
33,912,6
33,1142,6
196,1523,7
231,1503,6
20,284,5
284,661,5
284,883,5
284,912,5
284,1142,5
20,883,5
20,1142,5
661,883,5
661,1142,5
883,912,5
883,1142,5
912,1142,5
707,1320,9
707,1523,7
180,285,5
